# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.0250,-8.2129,1.3472,1.3472
-1.0179,-8.2129,1.3465,1.3465
-1.0109,-8.2129,1.3458,1.3458
-1.0038,-8.2129,1.3439,1.3439
-0.9967,-8.2129,1.3415,1.3415
-0.9896,-8.2129,1.3391,1.3391
-0.9825,-8.2129,1.3368,1.3368
-0.9754,-8.2129,1.3345,1.3345
-0.9683,-8.2129,1.3322,1.3322
-0.9612,-8.2129,1.3300,1.3300
-0.9541,-8.2129,1.3277,1.3277
-0.9470,-8.2129,1.3255,1.3255
-0.9399,-8.2129,1.3232,1.3232
-0.9328,-8.2058,1.3143,1.3143
-0.9257,-8.2058,1.3121,1.3121
-0.9187,-8.2058,1.3099,1.3099
-0.9116,-8.2058,1.3078,1.3078
-0.9045,-8.2058,1.3057,1.3057
-0.8974,-8.2058,1.3036,1.3036
-0.8903,-8.2058,1.3016,1.3016
-0.8832,-8.2058,1.2996,1.2996
-0.8761,-8.2058,1.2976,1.2976
-0.8690,-8.1987,1.2889,1.2889
-0.8619,-8.1987,1.2870,1.2870
-0.8548,-8.1987,1.2851,1.2851
-0.8477,-8.1987,1.2829,1.2829
-0.8406,-8.1987,1.2806,1.2806
-0.8335,-8.1987,1.2784,1.2784
-0.8265,-8.1987,1.2761,1.2761
-0.8194,-8.1987,1.2739,1.2739
-0.8123,-8.1987,1.2716,1.2716
-0.8052,-8.1987,1.2694,1.2694
-0.7981,-8.1987,1.2672,1.2672
-0.7910,-8.1987,1.2649,1.2649
-0.7839,-8.1987,1.2627,1.2627
-0.7768,-8.1987,1.2605,1.2605
-0.7697,-8.1987,1.2582,1.2582
-0.7626,-8.1987,1.2559,1.2559
-0.7555,-8.1987,1.2537,1.2537
-0.7484,-8.1987,1.2515,1.2515
-0.7413,-8.1987,1.2494,1.2494
-0.7343,-8.1987,1.2473,1.2473
-0.7272,-8.1987,1.2452,1.2452
-0.7201,-8.1987,1.2431,1.2431
-0.7130,-8.1987,1.2411,1.2411
-0.7059,-8.1987,1.2392,1.2392
-0.6988,-8.1987,1.2372,1.2372
-0.6917,-8.1987,1.2353,1.2353
-0.6846,-8.1987,1.2335,1.2335
-0.6775,-8.1987,1.2317,1.2317
-0.6704,-8.1917,1.2230,1.2230
-0.6633,-8.1917,1.2213,1.2213
-0.6562,-8.1917,1.2196,1.2196
-0.6491,-8.1917,1.2179,1.2179
-0.6421,-8.1917,1.2162,1.2162
-0.6350,-8.1917,1.2144,1.2144
-0.6279,-8.1917,1.2127,1.2127
-0.6208,-8.1917,1.2110,1.2110
-0.6137,-8.1917,1.2094,1.2094
-0.6066,-8.1917,1.2078,1.2078
-0.5995,-8.1917,1.2062,1.2062
-0.5924,-8.1917,1.2047,1.2047
-0.5853,-8.1917,1.2032,1.2032
-0.5782,-8.1846,1.1948,1.1948
-0.5711,-8.1846,1.1934,1.1934
-0.5640,-8.1846,1.1920,1.1920
-0.5569,-8.1846,1.1907,1.1907
-0.5499,-8.1846,1.1894,1.1894
-0.5428,-8.1846,1.1881,1.1881
-0.5357,-8.1846,1.1869,1.1869
-0.5286,-8.1775,1.1788,1.1788
-0.5215,-8.1775,1.1776,1.1776
-0.5144,-8.1775,1.1766,1.1766
-0.5073,-8.1775,1.1754,1.1754
-0.5002,-8.1775,1.1742,1.1742
-0.4931,-8.1775,1.1730,1.1730
-0.4860,-8.1775,1.1718,1.1718
-0.4789,-8.1775,1.1706,1.1706
-0.4718,-8.1775,1.1695,1.1695
