# x_m,y_m,w_tr_right_m,w_tr_left_m
3.1027,-0.4757,0.7821,0.7821
3.1135,-0.4865,0.7784,0.7784
3.1243,-0.4973,0.7676,0.7676
3.1351,-0.4973,0.7568,0.7568
3.1459,-0.5081,0.7459,0.7459
3.1568,-0.5189,0.7351,0.7351
3.1676,-0.5297,0.7243,0.7243
3.1784,-0.5405,0.7135,0.7135
3.1892,-0.5514,0.7027,0.7027
3.2000,-0.5622,0.6919,0.6919
3.2108,-0.5730,0.6811,0.6811
3.2216,-0.5838,0.6704,0.6704
3.2216,-0.5946,0.6706,0.6706
3.2216,-0.6054,0.6711,0.6711
3.2324,-0.6162,0.6609,0.6609
3.2432,-0.6270,0.6509,0.6509
3.2432,-0.6378,0.6519,0.6519
3.2541,-0.6486,0.6423,0.6423
3.2541,-0.6595,0.6437,0.6437
3.2649,-0.6703,0.6345,0.6345
3.2649,-0.6811,0.6363,0.6363
3.2757,-0.6919,0.6276,0.6276
3.2757,-0.7027,0.6297,0.6297
3.2865,-0.7135,0.6215,0.6215
3.2865,-0.7243,0.6239,0.6239
3.2865,-0.7351,0.6256,0.6256
3.2973,-0.7459,0.6162,0.6162
3.2973,-0.7568,0.6162,0.6162
3.2973,-0.7676,0.6162,0.6162
3.3081,-0.7784,0.6054,0.6054
3.3081,-0.7892,0.6054,0.6054
3.3081,-0.8000,0.6054,0.6054
3.3081,-0.8108,0.6055,0.6055
3.3189,-0.8216,0.5950,0.5950
3.3189,-0.8324,0.5955,0.5955
3.3189,-0.8432,0.5962,0.5962
3.3189,-0.8541,0.5970,0.5970
3.3297,-0.8649,0.5874,0.5874
3.3297,-0.8757,0.5887,0.5887
3.3405,-0.8865,0.5795,0.5795
3.3405,-0.8973,0.5812,0.5812
3.3514,-0.9081,0.5725,0.5725
3.3514,-0.9189,0.5746,0.5746
3.3514,-0.9297,0.5769,0.5769
3.3622,-0.9405,0.5690,0.5690
3.3622,-0.9514,0.5717,0.5717
3.3622,-0.9622,0.5747,0.5747
3.3730,-0.9730,0.5675,0.5675
3.3730,-0.9838,0.5709,0.5709
3.3730,-0.9946,0.5745,0.5745
3.3730,-1.0054,0.5783,0.5783
3.3838,-1.0162,0.5722,0.5722
3.3838,-1.0270,0.5763,0.5763
3.3838,-1.0378,0.5807,0.5807
3.3838,-1.0486,0.5852,0.5852
3.3946,-1.0595,0.5802,0.5802
3.3946,-1.0703,0.5851,0.5851
3.4054,-1.0811,0.5807,0.5807
3.4054,-1.0919,0.5860,0.5860
3.4054,-1.1027,0.5907,0.5907
