# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.0925,-9.4750,0.6616,0.6616
-1.0800,-9.4750,0.6664,0.6664
-1.0675,-9.4750,0.6714,0.6714
-1.0550,-9.4625,0.6653,0.6653
-1.0425,-9.4625,0.6708,0.6708
-1.0300,-9.4625,0.6731,0.6731
-1.0175,-9.4625,0.6686,0.6686
-1.0050,-9.4625,0.6643,0.6643
-0.9925,-9.4500,0.6720,0.6720
-0.9800,-9.4500,0.6681,0.6681
-0.9675,-9.4500,0.6643,0.6643
-0.9550,-9.4375,0.6720,0.6720
-0.9425,-9.4375,0.6681,0.6681
-0.9300,-9.4375,0.6643,0.6643
-0.9175,-9.4250,0.6720,0.6720
-0.9050,-9.4250,0.6681,0.6681
-0.8925,-9.4125,0.6760,0.6760
-0.8800,-9.4125,0.6720,0.6720
-0.8675,-9.4000,0.6801,0.6801
-0.8550,-9.3875,0.6885,0.6885
-0.8425,-9.3875,0.6852,0.6852
-0.8300,-9.3750,0.6943,0.6943
-0.8175,-9.3625,0.7010,0.7010
-0.8050,-9.3625,0.6964,0.6964
-0.7925,-9.3500,0.7038,0.7038
-0.7800,-9.3500,0.6988,0.6988
-0.7675,-9.3375,0.7046,0.7046
-0.7550,-9.3250,0.7103,0.7103
-0.7425,-9.3125,0.7156,0.7156
-0.7300,-9.3125,0.7100,0.7100
-0.7175,-9.3000,0.7156,0.7156
-0.7050,-9.2875,0.7212,0.7212
-0.6925,-9.2750,0.7273,0.7273
-0.6800,-9.2625,0.7337,0.7337
-0.6675,-9.2500,0.7405,0.7405
-0.6550,-9.2375,0.7476,0.7476
-0.6425,-9.2250,0.7547,0.7547
-0.6425,-9.2125,0.7526,0.7526
-0.6300,-9.2000,0.7567,0.7567
-0.6175,-9.1875,0.7613,0.7613
-0.6050,-9.1750,0.7662,0.7662
-0.5925,-9.1625,0.7715,0.7715
-0.5925,-9.1500,0.7659,0.7659
-0.5800,-9.1375,0.7715,0.7715
-0.5800,-9.1250,0.7659,0.7659
-0.5675,-9.1125,0.7718,0.7718
-0.5675,-9.1000,0.7666,0.7666
-0.5550,-9.0875,0.7731,0.7731
-0.5550,-9.0750,0.7683,0.7683
-0.5425,-9.0625,0.7754,0.7754
-0.5425,-9.0500,0.7711,0.7711
-0.5300,-9.0375,0.7787,0.7787
-0.5300,-9.0250,0.7748,0.7748
-0.5175,-9.0125,0.7828,0.7828
-0.5175,-9.0000,0.7787,0.7787
-0.5050,-8.9875,0.7867,0.7867
-0.5050,-8.9750,0.7830,0.7830
-0.4925,-8.9625,0.7916,0.7916
-0.4925,-8.9500,0.7883,0.7883
-0.4800,-8.9375,0.7974,0.7974
-0.4800,-8.9250,0.7945,0.7945
-0.4675,-8.9125,0.8041,0.8041
-0.4675,-8.9000,0.8017,0.8017
-0.4675,-8.8875,0.7994,0.7994
-0.4550,-8.8750,0.8097,0.8097
-0.4550,-8.8625,0.8079,0.8079
-0.4425,-8.8500,0.8186,0.8186
-0.4425,-8.8375,0.8172,0.8172
-0.4300,-8.8250,0.8284,0.8284
-0.4300,-8.8125,0.8274,0.8274
-0.4175,-8.8000,0.8390,0.8390
