# x_m,y_m,w_tr_right_m,w_tr_left_m
2.2007,4.4393,0.9618,0.9618
2.1507,4.3893,0.9849,0.9849
2.1507,4.3393,0.9657,0.9657
2.1007,4.2893,0.9962,0.9962
2.1007,4.2393,0.9823,0.9823
2.1007,4.1893,0.9708,0.9708
2.0507,4.1393,1.0112,1.0112
2.0507,4.0893,1.0050,1.0050
2.0507,4.0393,1.0012,1.0012
2.0507,3.9893,1.0000,1.0000
2.0007,3.9393,1.0500,1.0500
2.0007,3.8893,1.0500,1.0500
2.0007,3.8393,1.0500,1.0500
2.0007,3.7893,1.0500,1.0500
2.0007,3.7393,1.0500,1.0500
1.9507,3.6893,1.1000,1.1000
1.9507,3.6393,1.1000,1.1000
1.9507,3.5893,1.1000,1.1000
1.9007,3.5393,1.1500,1.1500
1.9007,3.4893,1.1500,1.1500
1.9007,3.4393,1.1500,1.1500
1.9007,3.3893,1.1500,1.1500
1.9007,3.3393,1.1500,1.1500
1.8507,3.2893,1.2000,1.2000
1.8507,3.2393,1.2000,1.2000
1.8007,3.1893,1.2500,1.2500
1.8007,3.1393,1.2500,1.2500
1.7507,3.0893,1.2855,1.2855
1.7507,3.0393,1.2748,1.2748
1.7007,2.9893,1.3153,1.3153
1.6507,2.9393,1.3583,1.3583
1.6007,2.8893,1.4036,1.4036
1.5507,2.8393,1.4000,1.4000
1.5007,2.7893,1.3500,1.3500
1.4507,2.7393,1.3000,1.3000
1.4007,2.6893,1.2500,1.2500
1.3507,2.6393,1.2000,1.2000
1.3007,2.6393,1.2000,1.2000
1.2507,2.5893,1.1402,1.1402
1.2007,2.5893,1.1281,1.1281
1.1507,2.5393,1.0689,1.0689
1.1007,2.5393,1.0607,1.0607
1.0507,2.5393,1.0548,1.0548
1.0007,2.4893,1.0012,1.0012
0.9507,2.4893,1.0000,1.0000
0.9007,2.4893,1.0000,1.0000
0.8507,2.4393,0.9500,0.9500
0.8007,2.4393,0.9500,0.9500
0.7507,2.4393,0.9500,0.9500
0.7007,2.4393,0.9500,0.9500
0.6507,2.3893,0.9000,0.9000
0.6007,2.3893,0.9000,0.9000
0.5507,2.3893,0.9000,0.9000
0.5007,2.3893,0.9000,0.9000
0.4507,2.3893,0.9000,0.9000
0.4007,2.3393,0.8500,0.8500
0.3507,2.3393,0.8500,0.8500
0.3007,2.3393,0.8500,0.8500
0.2507,2.3393,0.8500,0.8500
0.2007,2.3393,0.8500,0.8500
0.1507,2.3393,0.8500,0.8500
0.1007,2.3393,0.8500,0.8500
0.0507,2.3393,0.8500,0.8500
0.0007,2.3393,0.8500,0.8500
-0.0493,2.2893,0.8000,0.8000
-0.0993,2.2893,0.8000,0.8000
-0.1493,2.2893,0.8000,0.8000
-0.1993,2.2893,0.8000,0.8000
-0.2493,2.2893,0.8000,0.8000
-0.2993,2.2893,0.8000,0.8000
-0.3493,2.2893,0.8000,0.8000
-0.3993,2.2893,0.8000,0.8000
-0.4493,2.2893,0.8000,0.8000
-0.4993,2.2893,0.8000,0.8000
-0.5493,2.2893,0.8000,0.8000
-0.5993,2.2893,0.8000,0.8000
-0.6493,2.2893,0.8000,0.8000
-0.6993,2.2893,0.8000,0.8000
-0.7493,2.2893,0.8000,0.8000
-0.7993,2.2893,0.8000,0.8000
-0.8493,2.2893,0.8000,0.8000
-0.8993,2.2893,0.8000,0.8000
-0.9493,2.2893,0.8000,0.8000
-0.9993,2.2893,0.8000,0.8000
-1.0493,2.2893,0.8000,0.8000
-1.0993,2.2893,0.8000,0.8000
-1.1493,2.2893,0.8000,0.8000
-1.1993,2.2893,0.8000,0.8000
-1.2493,2.2893,0.8000,0.8000
-1.2993,2.2893,0.8000,0.8000
-1.3493,2.2893,0.8000,0.8000
-1.3993,2.2893,0.8000,0.8000
-1.4493,2.2893,0.8000,0.8000
-1.4993,2.2893,0.8000,0.8000
-1.5493,2.2893,0.8000,0.8000
-1.5993,2.2893,0.8000,0.8000
-1.6493,2.3393,0.8500,0.8500
